"g171school","g171province","g171sex","g171age","g171f010","g171f074","g171f076","g171f086","g171f101","g171f124","g171g002","eventtime","status","blank_month","X5","X10","X11","X12","X16","X35"
"2","2","2",26.08333333,"1",3.8,8,1,"1","2","0",14,1,1,"2",5,40,0,170,"2"
"2","4","2",28.16666667,"1",3.3,8,2,"1","2","0",17,1,7,"2",5,40,0,250,"1"
"2","3","1",28.91666667,"1",3.1,9,1,"1","1","0",6,1,2,"2",6,42,0,170,"2"
"2","4","2",24.66666667,"1",4.2,8,2,"2","1","0",9,1,2,"2",5,40,0,200,"1"
"2","4","1",26.25,"1",3.5,8,2,"1","2","0",17,1,-2,"2",5,40,0,180,"1"
"2","1","2",25,"1",3.8,8,1,"1","2","0",1,1,9,"2",5,40,0,210,"2"
"2","3","1",27.16666667,"1",3.6,8,2,"1","2","0",10,1,0,"2",5,40,0,150,"2"
"2","5","1",27.08333333,"1",3,8,2,"1","2","0",2,1,2,"2",5,40,0,170,"2"
"2","3","2",23.83333333,"1",4,8,2,"2","2","0",6,1,8,"2",5,30,0,100,"2"
"2","5","1",32.41666667,"1",2.5,8,2,"1","1","0",9,1,2,"2",5,40,0,150,"2"
"2","1","1",27,"1",3.6,9,2,"1","2","1",2,1,1,"2",5,40,0,200,"1"
"2","2","2",23.58333333,"1",3.8,8,2,"2","2","0",12,1,2,"2",5,36,0,190,"2"
"2","4","1",25.33333333,"1",3.4,8,2,"1","2","0",16,1,2,"2",5,40,0,160,"2"
"2","1","1",28.66666667,"1",3.8,8,2,"1","2","0",4,1,0,"2",5,40,0,300,"2"
"2","1","2",27.16666667,"1",3.5,8,2,"1","1","0",3,1,-1,"2",5,40,10,266,"2"
"2","1","2",24.75,"1",3.8,8,1,"1","1","0",11,1,4,"2",5,40,10,333,"1"
"2","3","2",25.66666667,"1",3.2,8,2,"1","1","0",13,1,4,"2",5,40,7,233,"2"
"2","3","1",26.66666667,"1",3.2,8,2,"1","2","0",13,1,-7,"2",5,40,0,230,"2"
"2","3","1",27.08333333,"1",3.5,8,2,"1","2","0",6,1,2,"2",5,45,0,153,"2"
"2","4","1",28.33333333,"1",3.5,9,2,"1","1","0",13,1,-6,"2",5,40,4,250,"2"
"2","5","2",24.41666667,"1",3.8,8,2,"2","2","0",13,1,2,"2",5,40,0,130,"2"
"2","3","1",25.91666667,"1",3.8,8,2,"1","2","0",4,1,1,"2",6,48,0,275,"2"
"2","1","2",26.41666667,"1",3.5,8,2,"1","1","0",10,1,2,"2",5,40,0,150,"2"
"2","3","1",26,"2",3.5,4,2,"2","2","0",3,1,16,"2",5,40,0,210,"1"
"2","3","1",28.66666667,"1",3.9,8,1,"1","1","0",4,1,4,"2",5,45,0,250,"2"
"2","2","1",26.91666667,"1",3.5,8,1,"1","2","0",9,1,1,"2",5,40,1,200,"2"
"2","2","1",28.41666667,"1",3.5,8,1,"1","2","0",8,1,-5,"2",5,40,5,316,"2"
"2","4","1",26.41666667,"1",3.9,8,2,"1","2","0",10,1,-7,"2",6,40,32,200,"1"
"2","4","1",26.25,"1",4,8,2,"1","2","0",13,1,0,"2",5,40,8,200,"2"
"2","2","2",24.83333333,"1",3.7,8,1,"1","1","0",13,1,-1,"2",5,40,12,255,"2"
"2","4","1",28.16666667,"1",3,8,2,"1","2","0",10,1,1,"2",6,48,0,175,"2"
"2","4","2",23.58333333,"1",4.3,8,2,"2","2","0",12,1,2,"2",5,40,10,180,"2"
"2","1","1",31.25,"1",1.7,8,1,"1","2","0",4,1,8,"2",5,40,0,210,"2"
"2","2","2",25.08333333,"1",3.6,8,1,"1","2","0",12,1,-6,"2",5,40,15,200,"2"
"2","5","1",24.41666667,"1",3,8,2,"2","2","0",22,1,-6,"2",5,40,10,235,"2"
"2","1","2",26,"1",3,8,2,"1","1","0",15,1,0,"2",4,36,0,100,"2"
"2","2","2",25.25,"1",4,8,1,"1","2","0",14,1,-4,"2",5,40,1,166,"2"
"2","2","2",25.16666667,"1",3.6,8,2,"1","2","0",14,1,6,"2",5,45,0,165,"2"
"2","3","1",27.5,"1",3.5,8,2,"1","2","0",10,1,-7,"2",5,36,3,180,"2"
"2","1","1",26.08333333,"1",3.3,8,2,"1","2","0",3,1,-1,"2",5,52,12,300,"2"
"2","3","2",34.16666667,"1",3.2,8,2,"1","2","0",13,1,4,"2",5,40,10,330,"2"
"2","3","2",25.58333333,"1",4,8,2,"2","2","0",12,1,1,"2",5,40,0,250,"1"
"2","1","2",26.25,"1",3.5,8,2,"1","2","0",9,1,1,"2",5,40,2,200,"2"
"2","1","1",29.41666667,"1",3.2,8,1,"1","2","0",6,1,12,"2",6,48,30,266,"2"
"2","2","1",25.83333333,"1",3.7,8,1,"1","2","0",3,1,7,"2",5,50,5,280,"2"
"2","3","1",26.33333333,"1",2.7,8,2,"1","2","0",16,1,-11,"2",5,40,0,150,"2"
"2","5","1",26.41666667,"1",3,8,2,"1","2","0",20,1,-2,"2",6,60,0,180,"2"
"2","1","2",25.66666667,"1",3.7,11,2,"1","2","0",10,1,1,"2",5,40,0,230,"2"
"2","2","1",32.58333333,"2",3.2,8,2,"1","1","0",5,1,2,"2",5,40,15,190,"2"
"2","3","2",27.08333333,"1",3.2,13,1,"1","2","0",20,1,-4,"2",5,40,15,140,"1"
"2","3","2",26.33333333,"1",3.8,11,1,"1","2","0",8,1,1,"2",5,40,0,195,"1"
"2","5","1",27.16666667,"1",3.7,8,2,"1","1","0",6,1,11,"2",6,66,0,300,"2"
"2","4","1",25.91666667,"1",3.7,8,2,"1","2","0",6,1,-4,"2",5,40,0,190,"2"
"2","4","1",27.41666667,"1",3.6,8,2,"1","2","0",9,1,-2,"2",6,56,4,220,"2"
"2","1","1",27.5,"1",3.9,9,2,"1","2","0",3,1,3,"2",5,40,0,320,"2"
"2","4","1",27.16666667,"1",3.9,8,1,"1","2","0",14,1,-5,"2",5.5,50,0,180,"2"
"2","4","1",27.41666667,"1",3.5,8,2,"1","2","0",6,1,3,"2",5,40,0,210,"2"
"2","1","1",28.58333333,"1",3.8,9,2,"2","1","0",16,1,-1,"2",5,40,16,291,"2"
"2","2","1",26.41666667,"1",3.8,8,2,"1","2","0",6,1,1,"2",5,40,20,250,"2"
"2","3","1",28.25,"1",3.8,8,1,"1","1","0",9,1,-1,"2",5,40,0,291,"2"
"2","4","1",27.41666667,"1",3.6,8,1,"1","2","0",3,1,11,"2",5,40,12,200,"2"
"2","4","1",26.41666667,"1",3.6,8,2,"1","2","0",23,1,-3,"2",5,40,12,250,"2"
"2","4","1",29.16666667,"1",3.8,11,2,"1","2","0",18,1,3,"2",5,40,0,400,"1"
"2","5","1",27.25,"1",3.9,8,2,"1","2","0",6,1,3,"2",6,46,8,300,"2"
"2","5","1",27.08333333,"1",3.4,8,2,"1","2","0",11,1,1,"2",5,40,0,250,"2"
"2","2","1",27,"1",3.8,8,2,"1","2","0",6,1,11,"2",5,50,10,175,"2"
"2","1","1",26,"1",4.1,8,1,"1","2","0",16,1,2,"2",5,40,0,350,"2"
